assumption_id,category,assumption_name,value,unit,data_classification,source_type,notes,last_updated
CAPEX-EQUIP,Capital expenditure,Automation equipment,18000000.0,AED,User-entered assumption,Academic project estimate,Replace with vendor quotation before final submission,2026-07-22
CAPEX-INSTALL,Capital expenditure,Installation and systems integration,2500000.0,AED,User-entered assumption,Academic project estimate,Replace with integrator quotation,2026-07-22
CAPEX-SOFTWARE,Capital expenditure,Software and cybersecurity,1200000.0,AED,User-entered assumption,Academic project estimate,Validate licence and implementation scope,2026-07-22
CAPEX-TRAIN,Capital expenditure,Training and launch,300000.0,AED,User-entered assumption,Academic project estimate,Include staff time and launch support,2026-07-22
NWC-INITIAL,Working capital,Initial working capital,2000000.0,AED,Forecast,Management assumption,Recovered in final project year,2026-07-22
LIFE,Project,Project life,6.0,years,User-entered assumption,Management policy,Use sensitivity of 5-8 years,2026-07-22
SAVE-Y1,Operating benefits,Year 1 operating cost savings,7500000.0,AED/year,Forecast,Management estimate,Validate with labour and process study,2026-07-22
SAVE-GROWTH,Operating benefits,Annual savings growth,0.04,decimal,Forecast,Management estimate,4% = 0.04,2026-07-22
MARGIN-Y1,Operating benefits,Year 1 incremental contribution margin,2500000.0,AED/year,Forecast,Management estimate,Link to demand and service-level uplift,2026-07-22
MARGIN-GROWTH,Operating benefits,Annual contribution margin growth,0.05,decimal,Forecast,Management estimate,5% = 0.05,2026-07-22
OPEX-Y1,Operating costs,Year 1 additional operating cost,2200000.0,AED/year,Forecast,Management estimate,"Maintenance, software, energy, supervision",2026-07-22
OPEX-GROWTH,Operating costs,Annual operating cost growth,0.03,decimal,Forecast,Management estimate,3% = 0.03,2026-07-22
DISCOUNT,Finance,Discount rate / hurdle rate,0.115,decimal,User-entered assumption,Management policy,11.5% = 0.115; replace with approved WACC if available,2026-07-22
TAX,Tax,Simplified UAE corporate tax rate,0.09,decimal,Current external,UAE Ministry of Finance,"9% headline rate above AED 375,000; simplified project model",2026-07-22
SALVAGE,Terminal value,Salvage value in final year,2000000.0,AED,Forecast,Management estimate,Use after-tax salvage treatment in model,2026-07-22
NWC-RECOVERY,Working capital,Working-capital recovery in final year,2000000.0,AED,Forecast,Management assumption,Must be included in terminal cash flow,2026-07-22
